titulo;precio;ano;kilometraje;cilindrada;url;precio_num;cilindrada_cc;km;rango_cc;rango_km
KTM 1090 Adventure “S” (2018), impecable, full + escape y silenciador Remus;$9.350.000;2018.0;20500.0;1.09;https://www.chilemotos.com/moto/68159/;9350000.0;1090.0;20500.0;1000cc+;10k-30k
Germania CG 250s;$1.850.000;2026.0;6300.0;250.0;https://www.chilemotos.com/moto/68139/;1850000.0;250.0;6300.0;201-500cc;0-10k
Venta de Moto Honda Dio;$1.200.000;2022.0;900.0;109.0;https://www.chilemotos.com/moto/68100/;1200000.0;109.0;900.0;0-200cc;0-10k
Yamaha Xmax 300;$4.900.000;2024.0;2923.0;300.0;https://www.chilemotos.com/moto/67275/;4900000.0;300.0;2923.0;201-500cc;0-10k
Africa Twin Adventure Sport 2019;$10.800.000;2019.0;31000.0;1.0;https://www.chilemotos.com/moto/67280/;10800000.0;1000.0;31000.0;501-1000cc;30k-50k
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2017.0;13000.0;200.0;https://www.chilemotos.com/moto/67262/;2200000.0;200.0;13000.0;0-200cc;10k-30k
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2020.0;13200.0;200.0;https://www.chilemotos.com/moto/67245/;2200000.0;200.0;13200.0;0-200cc;10k-30k
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2020.0;13300.0;200.0;https://www.chilemotos.com/moto/67249/;2200000.0;200.0;13300.0;0-200cc;10k-30k
MOTOS ENDURO;$3.290;2025.0;0.0;85.0;https://www.chilemotos.com/moto/67237/;3290000.0;85.0;0.0;0-200cc;
moto impecable único dueño;$4.300.000;2017.0;51.0;500.0;https://www.chilemotos.com/moto/67227/;4300000.0;500.0;51.0;201-500cc;0-10k
Motorrad X-Type 200cc – Impecable y TRANSFERIBLE;$1.000.000;2019.0;1500.0;200.0;https://www.chilemotos.com/moto/67210/;1000000.0;200.0;1500.0;0-200cc;0-10k
KTM 250 Adventure 2021;$3.200.000;2021.0;25000.0;250.0;https://www.chilemotos.com/moto/67200/;3200000.0;250.0;25000.0;201-500cc;10k-30k
Yamaha FZ-25 A Negra Nueva;$3.399.998;2025.0;10.0;249.0;https://www.chilemotos.com/moto/67193/;3399998.0;249.0;10.0;201-500cc;0-10k
Yamaha FZ-25 A Negra Nueva;$3.400.000;2025.0;0.0;249.0;https://www.chilemotos.com/moto/67191/;3400000.0;249.0;0.0;201-500cc;
Moto BMW G310r;$3.900.000;2021.0;2000.0;313.0;https://www.chilemotos.com/moto/67134/;3900000.0;313.0;2000.0;201-500cc;0-10k
HONDA CB 160F XBLADE 2023;$1.800.000;2023.0;7152.0;160.0;https://www.chilemotos.com/moto/67124/;1800000.0;160.0;7152.0;0-200cc;0-10k
Moto enduro;$3.290.000;2025.0;1.0;85.0;https://www.chilemotos.com/moto/67117/;3290000.0;85.0;1.0;0-200cc;0-10k
Pilder 400 (motor fundido);$1.000.000;2022.0;70000.0;400.0;https://www.chilemotos.com/moto/67109/;1000000.0;400.0;70000.0;201-500cc;50k+
MOTOS DE ENDURO;$3.290.000;2025.0;0.0;85.0;https://www.chilemotos.com/moto/67112/;3290000.0;85.0;0.0;0-200cc;
YAMAHA FZ 2.0 2016;$1.099.999;2015.0;54000.0;148.0;https://www.chilemotos.com/moto/67106/;1099999.0;148.0;54000.0;0-200cc;50k+
