titulo;precio;ano;kilometraje;cilindrada;url
KTM 1090 Adventure “S” (2018), impecable, full + escape y silenciador Remus;$9.350.000;2018;20500;1.090;https://www.chilemotos.com/moto/68159/
Germania CG 250s;$1.850.000;2026;6300;250;https://www.chilemotos.com/moto/68139/
Venta de Moto Honda Dio;$1.200.000;2022;900;109;https://www.chilemotos.com/moto/68100/
Yamaha Xmax 300;$4.900.000;2024;2923;300;https://www.chilemotos.com/moto/67275/
Africa Twin Adventure Sport 2019;$10.800.000;2019;31000;1.000;https://www.chilemotos.com/moto/67280/
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2017;13000;200;https://www.chilemotos.com/moto/67262/
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2020;13200;200;https://www.chilemotos.com/moto/67245/
Bajaj Pulsar RS200 2020 – 13.000 km – Excelente estado;$2.200.000;2020;13300;200;https://www.chilemotos.com/moto/67249/
MOTOS ENDURO;$3.290;2025;0;85;https://www.chilemotos.com/moto/67237/
moto impecable único dueño;$4.300.000;2017;51;500;https://www.chilemotos.com/moto/67227/
Motorrad X-Type 200cc – Impecable y TRANSFERIBLE;$1.000.000;2019;1500;200;https://www.chilemotos.com/moto/67210/
Yamaha Virago XV;$3.500.000;1988;11955;750;https://www.chilemotos.com/moto/67204/
KTM 250 Adventure 2021;$3.200.000;2021;25000;250;https://www.chilemotos.com/moto/67200/
Yamaha FZ-25 A Negra Nueva;$3.399.998;2025;10;249;https://www.chilemotos.com/moto/67193/
Yamaha FZ-25 A Negra Nueva;$3.400.000;2025;0;249;https://www.chilemotos.com/moto/67191/
Moto BMW G310r;$3.900.000;2021;2000;313;https://www.chilemotos.com/moto/67134/
HONDA CB 160F XBLADE 2023;$1.800.000;2023;7152;160;https://www.chilemotos.com/moto/67124/
Moto enduro;$3.290.000;2025;1;85;https://www.chilemotos.com/moto/67117/
Pilder 400 (motor fundido);$1.000.000;2022;70000;400;https://www.chilemotos.com/moto/67109/
MOTOS DE ENDURO;$3.290.000;2025;0;85;https://www.chilemotos.com/moto/67112/
YAMAHA FZ 2.0 2016;$1.099.999;2015;54000;148;https://www.chilemotos.com/moto/67106/
Honda CB190R 190CC 2023;$1.850.000;2022;14;190;https://www.chilemotos.com/moto/67101/
HONDA CB 160F XBLADE 2023;$1.800.000;2023;7152;160;https://www.chilemotos.com/moto/67090/
HONDA CB 160F XBLADE 2023;$1.800.000;2023;7152;160;https://www.chilemotos.com/moto/67087/
Zontes 310v;$3.500.000;2022;10500;300;https://www.chilemotos.com/moto/67072/
HONDA CB 160F XBLADE 2023;$1.800.000;2023;7152;160;https://www.chilemotos.com/moto/67085/
Suzuki Gixxer 250 SF;$3.700.000;2024;16000;250;https://www.chilemotos.com/moto/67048/
2021 Lifan LF250 D;$2.000.000;2021;118;250;https://www.chilemotos.com/moto/67030/
2021 Lifan LF250 D;$2.000.000;2021;119;250;https://www.chilemotos.com/moto/67035/
